,mov_href,mov_title,mov_year,mov_type,mov_rating
1006,tt0080290,Texas,1981.0,1,7.8
1007,tt0072559,Ryan's Hope,1981.0,1,7.2
1008,tt0082353,Eyewitness,1981.0,0,6.0
1009,tt0080474,Brubaker,1980.0,0,7.2
1010,tt0080392,Attica,1980.0,2,6.5
1011,tt0079379,Julius Caesar,1979.0,5,6.0
1012,tt0079299,Hollow Image,1979.0,2,6.2
1013,tt0331805,Visions,1978.0,1,6.2
1014,tt0078173,"Roll of Thunder, Hear My Cry",1978.0,2,5.6
1015,tt0066651,The Electric Company,1971.0,1,8.1
1016,tt0069797,Blade,1973.0,0,5.4
1017,tt0067982,Who Says I Can't Ride a Rainbow!,1971.0,0,5.8
1018,tt1624378,Caught in the Middle,1970.0,2,2.6
1019,tt0375390,New York Television Theatre,1969.0,1,7.4
1020,tt0063801,Where Were You When the Lights Went Out?,1968.0,0,5.9
1021,tt0060660,A Man Called Adam,1966.0,0,6.6
1022,tt0059575,The Pawnbroker,1964.0,0,7.7
1023,tt15297676,The Church of Living Dangerously,,0,
1024,tt14138650,The Pale Blue Eye,,0,
1025,tt1950186,Ford v Ferrari,2019.0,0,8.1
1026,tt6266538,Vice,2018.0,0,7.2
1027,tt2388771,Mowgli: Legend of the Jungle,2018.0,0,6.5
1028,tt5478478,Hostiles,2017.0,0,7.2
1029,tt4776998,The Promise,2016.0,0,6.0
1030,tt2101383,Knight of Cups,2015.0,0,5.7
1031,tt1528100,Exodus: Gods and Kings,2014.0,0,6.0
1032,tt1206543,Out of the Furnace,2013.0,0,6.8
1033,tt1410063,The Flowers of War,2011.0,0,7.6
1034,tt0964517,The Fighter,2010.0,0,7.8
1035,tt0438488,Terminator Salvation,2009.0,0,6.5
1036,tt0368794,I'm Not There,2007.0,0,6.9
1037,tt0482571,The Prestige,2006.0,0,8.5
1038,tt0462504,Rescue Dawn,2006.0,0,7.3
1039,tt0402399,The New World,2005.0,0,6.7
1040,tt0433387,Harsh Times,2005.0,0,6.9
1041,tt0347149,Howl's Moving Castle,2004.0,0,8.2
1042,tt0361862,The Machinist,2004.0,0,7.7
1043,tt0238380,Equilibrium,2002.0,0,7.4
1044,tt0253556,Reign of Fire,2002.0,0,6.2
1045,tt0298408,Laurel Canyon,2002.0,0,6.4
1046,tt0238112,Captain Corelli's Mandolin,2001.0,0,5.9
1047,tt0162650,Shaft,2000.0,0,6.0
1048,tt0144084,American Psycho,2000.0,0,7.6
1049,tt0214930,"Mary, Mother of Jesus",1999.0,2,5.5
1050,tt0140379,A Midsummer Night's Dream,1999.0,0,6.4
1051,tt0120584,All the Little Animals,1998.0,0,6.9
1052,tt0120879,Velvet Goldmine,1998.0,0,7.0
1053,tt0119665,Metroland,1997.0,0,6.4
1054,tt0117582,The Secret Agent,1996.0,0,5.7
1055,tt0117364,The Portrait of a Lady,1996.0,0,6.2
1056,tt0114148,Pocahontas,1995.0,0,6.7
1057,tt0110367,Little Women,1994.0,0,7.3
1058,tt0110891,Royal Deceit,1994.0,0,5.5
1059,tt0108265,Swing Kids,1993.0,0,6.8
1060,tt0104990,Newsies,1992.0,0,6.9
1061,tt0102485,A Murder of Quality,1991.0,2,6.4
1062,tt0100813,Treasure Island,1990.0,2,7.1
1063,tt0097499,Henry V,1989.0,0,7.5
1064,tt0092965,Empire of the Sun,1987.0,0,7.7
1065,tt0093543,Mio in the Land of Faraway,1987.0,0,6.4
1066,tt0090446,Heart of the Country,1987.0,3,7.0
1067,tt0090638,Anastasia: The Mystery of Anna,1986.0,3,6.7
1068,tt3969420,Rain,,3,
1069,tt12844100,John Wick: Chapter 5,,0,
1070,tt10366206,John Wick: Chapter 4,2022.0,0,
1071,tt8912936,DC League of Super-Pets,2022.0,0,
1072,tt10838180,The Matrix Resurrections,2021.0,0,
1073,tt3810192,Cyberpunk 2077,2020.0,8,7.9
1074,tt1086064,Bill & Ted Face the Music,2020.0,0,6.0
1075,tt4823776,The SpongeBob Movie: Sponge on the Run,2020.0,0,6.0
1076,tt9398640,Between Two Ferns: The Movie,2019.0,0,6.1
1077,tt1979376,Toy Story 4,2019.0,0,7.7
1078,tt7374948,Always Be My Maybe,2019.0,0,6.8
1079,tt6146586,John Wick: Chapter 3 - Parabellum,2019.0,0,7.4
1080,tt4154916,Replicas,2018.0,0,5.5
1081,tt6987770,Destination Wedding,2018.0,0,6.0
1082,tt6494418,Siberia,2018.0,0,4.3
1083,tt5324116,Swedish Dicks,2016.0,1,6.8
1084,tt5228262,A Happening of Monumental Proportions,2017.0,0,4.7
1085,tt8138184,Jerry Cantrell: A Job to Do (Lyric Video),2017.0,7,7.5
1086,tt4425200,John Wick: Chapter 2,2017.0,0,7.5
1087,tt5541240,To the Bone,2017.0,0,6.8
1088,tt11377126,The Film Prayer,2016.0,6,7.5
1089,tt6358260,Quantum Is Calling,2016.0,17,6.4
1090,tt4334266,The Bad Batch,2016.0,0,5.3
1091,tt1974419,The Neon Demon,2016.0,0,6.2
1092,tt3503406,The Whole Truth,2016.0,0,6.2
1093,tt4139124,Keanu,2016.0,0,6.3
1094,tt5376424,Anyone Can Quantum,2016.0,6,7.5
1095,tt4019560,Exposed,2016.0,0,4.3
1096,tt3546436,Interrogations Gone Wrong,2015.0,1,7.3
1097,tt3605418,Knock Knock,2015.0,0,4.9
1098,tt2911666,John Wick,2014.0,0,7.4
1099,tt9130252,Extreme Pursuit,2013.0,4,6.1
1100,tt1335975,47 Ronin,2013.0,0,6.3
1101,tt2016940,Man of Tai Chi,2013.0,0,6.1
1102,tt1718158,Generation Um...,2012.0,0,4.0
