,mg_movie_href,mg_genre_id
1,tt1809373,7
0,tt0389957,19
1,tt0389957,9
2,tt0389957,7
0,tt0363473,8
1,tt0363473,20
2,tt0363473,7
0,tt0361185,24
1,tt0361185,22
0,tt0289992,19
1,tt0289992,1
2,tt0289992,7
0,tt0301976,7
0,tt0295178,2
1,tt0295178,9
2,tt0295178,13
0,tt0318766,2
1,tt0318766,3
2,tt0318766,7
0,tt0120824,7
0,tt0272152,0
1,tt0272152,18
2,tt0272152,7
0,tt0280105,3
1,tt0280105,22
0,tt0223897,7
0,tt0160611,19
1,tt0160611,2
0,tt0189584,2
1,tt0189584,7
0,tt0169547,7
0,tt0120623,14
1,tt0120623,2
2,tt0120623,13
0,tt0119336,2
1,tt0119336,7
0,tt0120768,19
1,tt0120768,9
2,tt0120768,7
0,tt0119668,19
1,tt0119668,18
2,tt0119668,7
0,tt0119488,19
1,tt0119488,18
2,tt0119488,7
0,tt0117913,19
1,tt0117913,1
2,tt0117913,7
0,tt0114369,19
1,tt0114369,18
2,tt0114369,7
0,tt0114069,1
1,tt0114069,9
2,tt0114069,7
0,tt0114814,19
1,tt0114814,18
2,tt0114814,7
0,tt9077632,8
1,tt9077632,7
0,tt0114594,19
1,tt0114594,2
0,tt0109650,24
1,tt0109650,9
2,tt0109650,7
0,tt0110955,19
1,tt0110955,2
2,tt0110955,7
0,tt0110157,17
1,tt0110157,13
0,tt0106161,7
0,tt0104006,19
1,tt0104006,18
2,tt0104006,7
0,tt0090466,7
0,tt0101666,20
1,tt0101666,7
0,tt0100921,20
1,tt0100921,7
0,tt0099762,20
1,tt0099762,7
0,tt0100606,1
1,tt0100606,7
0,tt0099538,20
1,tt0099538,7
0,tt0097142,2
1,tt0097142,7
0,tt0098282,19
1,tt0098282,2
0,tt0096720,1
1,tt0096720,18
0,tt0096463,2
1,tt0096463,11
2,tt0096463,7
0,tt0096003,7
0,tt0092484,19
1,tt0092484,18
2,tt0092484,7
0,tt0095678,19
1,tt0095678,24
2,tt0095678,7
0,tt0090410,19
1,tt0090410,18
2,tt0090410,7
0,tt0093432,7
0,tt0088513,19
1,tt0088513,9
2,tt0088513,7
0,tt0091188,2
1,tt0091188,7
0,tt4075436,9
0,tt3143812,19
1,tt3143812,7
0,tt8373206,2
0,tt5537002,19
1,tt5537002,24
2,tt5537002,7
0,tt13055982,1
0,tt10304142,24
1,tt10304142,7
0,tt5420210,19
1,tt5420210,2
0,tt13160412,3
1,tt13160412,17
0,tt4532038,2
1,tt4532038,17
2,tt4532038,7
0,tt7286456,19
1,tt7286456,1
2,tt7286456,7
0,tt0072562,2
1,tt0072562,8
0,tt1933667,19
1,tt1933667,20
2,tt1933667,7
0,tt1967614,2
1,tt1967614,11
2,tt1967614,7
0,tt1781827,6
1,tt1781827,20
2,tt1781827,7
0,tt1860213,2
0,tt2446980,20
1,tt2446980,7
0,tt3276924,19
1,tt3276924,9
2,tt3276924,7
0,tt5227516,3
1,tt5227516,7
0,tt4016250,2
1,tt4016250,3
0,tt2361509,2
1,tt2361509,7
0,tt10908058,19
1,tt10908058,2
2,tt10908058,3
0,tt2212008,19
1,tt2212008,9
2,tt2212008,7
0,tt1661382,6
1,tt1661382,2
2,tt1661382,7
0,tt1800241,19
1,tt1800241,7
0,tt1204975,2
1,tt1204975,7
0,tt2404311,19
1,tt2404311,2
2,tt2404311,1
0,tt1480295,1
1,tt1480295,9
2,tt1480295,7
0,tt1931435,2
1,tt1931435,11
2,tt1931435,7
0,tt1045658,2
1,tt1045658,11
2,tt1045658,7
0,tt1815708,19
1,tt1815708,9
2,tt1815708,7
0,tt0455323,7
0,tt1748179,18
1,tt1748179,23
2,tt1748179,7
0,tt1598822,2
1,tt1598822,11
0,tt1448755,19
1,tt1448755,1
2,tt1448755,9
0,tt6779822,2
1,tt6779822,3
0,tt6779974,2
1,tt6779974,3
0,tt6780018,2
1,tt6780018,3
0,tt1219289,1
1,tt1219289,0
0,tt1712187,2
1,tt1712187,11
0,tt0496424,2
0,tt0970866,2
1,tt0970866,11
0,tt1423995,1
1,tt1423995,7
0,tt0985694,19
1,tt0985694,1
2,tt0985694,9
0,tt0780511,7
1,tt0780511,13
0,tt0486674,2
1,tt0486674,7
0,tt0486655,17
1,tt0486655,23
2,tt0486655,13
0,tt3492560,3
0,tt0343737,24
1,tt0343737,1
2,tt0343737,7
0,tt0344854,14
1,tt0344854,2
2,tt0344854,13
0,tt0445114,2
1,tt0445114,7
0,tt5091774,14
1,tt5091774,2
2,tt5091774,3
0,tt0382077,15
1,tt0382077,18
2,tt0382077,7
0,tt0356443,24
1,tt0356443,11
2,tt0356443,7
0,tt0290002,2
1,tt0290002,11
0,tt0307453,14
1,tt0307453,2
2,tt0307453,13
0,tt0335121,15
1,tt0335121,23
2,tt0335121,7
0,tt0289848,19
1,tt0289848,2
0,tt0269095,19
1,tt0269095,18
2,tt0269095,7
0,tt0284490,19
1,tt0284490,2
2,tt0284490,9
0,tt12032604,2
1,tt12032604,3
0,tt0227445,19
1,tt0227445,9
2,tt0227445,7
0,tt0179626,19
1,tt0179626,9
2,tt0179626,7
0,tt0212338,2
1,tt0212338,11
0,tt0203019,20
1,tt0203019,7
0,tt0131704,14
1,tt0131704,2
2,tt0131704,13
0,tt0122933,19
1,tt0122933,2
0,tt0122690,19
1,tt0122690,1
2,tt0122690,9
0,tt0119223,11
1,tt0119223,7
0,tt0120885,2
1,tt0120885,7
0,tt0119396,19
1,tt0119396,1
2,tt0119396,7
0,tt0118887,19
1,tt0118887,1
2,tt0118887,7
0,tt0116999,7
0,tt0117665,19
1,tt0117665,1
2,tt0117665,7
0,tt0116277,6
1,tt0116277,9
2,tt0116277,7
0,tt0112641,19
1,tt0112641,7
0,tt0112654,2
1,tt0112654,11
2,tt0112654,24
0,tt0109836,15
1,tt0109836,11
2,tt0109836,7
0,tt0106489,19
1,tt0106489,7
0,tt0108330,20
1,tt0108330,7
0,tt0107473,19
1,tt0107473,2
2,tt0107473,7
0,tt0105001,19
1,tt0105001,2
2,tt0105001,7
0,tt0104892,2
1,tt0104892,7
0,tt0101540,19
1,tt0101540,1
0,tt0101393,19
1,tt0101393,9
2,tt0101393,7
0,tt0101984,7
0,tt0099077,20
1,tt0099077,7
0,tt0099685,19
1,tt0099685,20
2,tt0099685,7
0,tt0100680,11
1,tt0100680,7
0,tt0098625,19
1,tt0098625,2
0,tt0097607,7
0,tt0095631,19
1,tt0095631,2
2,tt0095631,9
0,tt0092851,24
1,tt0092851,21
2,tt0092851,22
0,tt0094226,19
1,tt0094226,1
2,tt0094226,7
0,tt0092563,15
1,tt0092563,1
2,tt0092563,18
0,tt0091530,7
1,tt0091530,24
2,tt0091530,13
0,tt0088846,0
1,tt0088846,7
0,tt0087233,11
1,tt0087233,7
0,tt0087843,19
1,tt0087843,7
0,tt0085794,19
1,tt0085794,2
2,tt0085794,7
0,tt0083232,19
1,tt0083232,7
0,tt0081398,6
1,tt0081398,20
2,tt0081398,7
0,tt0077416,21
1,tt0077416,7
0,tt0076451,10
1,tt0076451,8
2,tt0076451,7
0,tt0074777,11
1,tt0074777,7
0,tt0074084,24
1,tt0074084,7
0,tt0075314,19
1,tt0075314,7
0,tt0070379,19
1,tt0070379,1
2,tt0070379,7
0,tt0069765,6
1,tt0069765,7
0,tt0067124,19
1,tt0067124,2
0,tt0066856,19
1,tt0066856,2
2,tt0066856,7
0,tt0067266,2
0,tt0065836,2
1,tt0065836,7
0,tt0065481,19
1,tt0065481,7
0,tt0064924,7
0,tt0065198,2
0,tt0063036,2
1,tt0063036,7
0,tt0063154,7
0,tt2141713,3
1,tt2141713,7
0,tt0179492,7
0,tt12874990,14
0,tt9179096,7
0,tt6149154,7
0,tt2677722,19
1,tt2677722,20
2,tt2677722,7
0,tt4123430,17
1,tt4123430,23
2,tt4123430,13
0,tt6865690,2
1,tt6865690,7
0,tt1273221,19
1,tt1273221,1
2,tt1273221,18
0,tt8925680,3
0,tt2296777,14
1,tt2296777,2
2,tt2296777,13
0,tt7634200,8
0,tt3402236,19
1,tt3402236,18
2,tt3402236,7
0,tt7492974,8
0,tt1790809,23
1,tt1790809,9
2,tt1790809,13
0,tt6244528,15
1,tt6244528,3
0,tt3183660,17
1,tt3183660,23
2,tt3183660,13
0,tt2567026,17
1,tt2567026,23
2,tt2567026,13
0,tt5456120,2
0,tt3838992,2
1,tt3838992,23
2,tt3838992,9
0,tt1355683,19
1,tt1355683,20
2,tt1355683,7
0,tt8925618,3
0,tt3045616,2
1,tt3045616,9
2,tt3045616,13
0,tt2180411,7
1,tt2180411,2
2,tt2180411,13
0,tt3099498,15
1,tt3099498,2
2,tt3099498,7
0,tt2209764,0
1,tt2209764,9
2,tt2209764,7
0,tt1885299,2
1,tt1885299,7
0,tt1210819,12
1,tt1210819,9
2,tt1210819,13
0,tt0182576,14
1,tt0182576,2
0,tt1077368,15
1,tt1077368,2
2,tt1077368,23
0,tt1232829,19
1,tt1232829,2
2,tt1232829,9
0,tt1641247,2
0,tt0376136,2
1,tt0376136,7
0,tt1843198,17
1,tt1843198,9
2,tt1843198,13
0,tt1298650,23
1,tt1298650,9
2,tt1298650,13
0,tt1192628,14
1,tt1192628,9
2,tt1192628,13
0,tt1243957,1
1,tt1243957,9
0,tt1014759,17
1,tt1014759,23
2,tt1014759,13
0,tt1152836,20
1,tt1152836,19
2,tt1152836,9
0,tt1054606,2
1,tt1054606,23
2,tt1054606,13
0,tt0206512,14
1,tt0206512,2
2,tt0206512,13
0,tt0408236,15
1,tt0408236,10
2,tt0408236,7
0,tt0449088,23
1,tt0449088,9
2,tt0449088,13
0,tt0383574,23
1,tt0383574,9
2,tt0383574,13
0,tt0815220,2
1,tt0815220,9
2,tt0815220,13
0,tt0121164,14
1,tt0121164,17
2,tt0121164,7
0,tt0367594,2
1,tt0367594,17
2,tt0367594,13
0,tt0375920,24
1,tt0375920,20
2,tt0375920,7
0,tt0308644,17
1,tt0308644,20
2,tt0308644,7
0,tt0381270,2
1,tt0381270,8
2,tt0381270,7
0,tt0118375,14
1,tt0118375,2
2,tt0118375,7
0,tt0363988,1
1,tt0363988,18
2,tt0363988,7
0,tt0285823,19
1,tt0285823,1
2,tt0285823,9
0,tt0325980,23
1,tt0325980,9
2,tt0325980,13
0,tt0120681,15
1,tt0120681,1
2,tt0120681,18
